message_type,timestamp,ant_device_number,ant_network,ant_transmission_type,battery_status,battery_voltage,cum_operating_time,device_index,device_type,garmin_product,hardware_version,local_timestamp,manufacturer,number,sensor_position,serial_number,software_version,source_type,system_timestamp,time_created,type,unknown_0,unknown_1,unknown_13,unknown_15,unknown_16,unknown_17,unknown_2,unknown_23,unknown_24,unknown_253,unknown_29,unknown_3,unknown_30,unknown_31,unknown_32,unknown_4,unknown_7,unknown_8,unknown_9
file_id,,,,,,,,,,4644,,,garmin,,,3617778896,,,,2026-04-07 21:11:01,73,,,,,,,,,,,,,,,,,,,
file_creator,,,,,,,,,,,,,,,,,1637,,,,,,,,,,,,,,,,,,,,,,,
device_info,2026-04-07 21:11:01,,,,,,,,,4644,,,garmin,,,3617778896,16.37,,,,,,,,,,,,,,,"(None, None, None, None, None, None)",,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.6807594299316406,,,,,,,,1144527961,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-0.8567886352539062,,,,,,,,1144528141,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.1724205017089844,,,,,,,,1144528321,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-1.7198944091796875,,,,,,,,1144528501,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-2.2936668395996094,,,,,,,,1144528681,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-2.6939620971679688,,,,,,,,1144528861,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-3.1212120056152344,,,,,,,,1144529041,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-3.5801467895507812,,,,,,,,1144529221,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-3.9105262756347656,,,,,,,,1144529401,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-4.0283050537109375,,,,,,,,1144529581,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-3.708446502685547,,,,,,,,1144529761,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-3.833282470703125,,,,,,,,1144529941,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-3.8550987243652344,,,,,,,,1144530121,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-3.980449676513672,,,,,,,,1144530301,,,,,,,,,
unknown_397,,,,,,,,,,,,,,,,,,,,,,,-4.30030632019043,,,,,,,,1144530481,,,,,,,,,
timestamp_correlation,2026-04-06 03:11:27,,,,,,,,,,,2026-04-06 12:11:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
